Time Remaining,Play Number,Down,Score Difference,Play Type,Distance to First,Distance to Touchdown,Outcome,Previous Play Outcome,Play Description,Best
3600,1,1,0,pass,10,75,7,0,"1st and 10 at FSU25	No Huddle-Shotgun Travis,Jordan pass complete short right to Wilson,Johnny for 7 yards to the FSU32 (Trotter Jr.,Jeremiah).",pass
3600,2,2,0,rush middle,3,68,14,7,"2nd and 3 at FSU32	No Huddle-Shotgun Toafili,Lawrance rush middle for 4 yards gain to the FSU36 (Henry,K.J.), 1ST DOWN.",rush middle
3600,3,1,0,pass,10,64,24,14,"1st and 10 at FSU36	No Huddle-Shotgun Travis,Jordan pass complete deep right to Toafili,Lawrance for 14 yards to the FSU50 (Davis,Tyler; Trotter Jr.,Jeremiah), 1ST DOWN.",pass
3600,4,1,0,pass,10,50,0,24,"1st and 10 at FSU50	No Huddle-Shotgun Travis,Jordan pass incomplete short right to McDonald,Camren QB hurried by Henry,K.J..",pass
3600,5,2,0,rush left,10,50,3,0,"2nd and 10 at FSU50	No Huddle-Shotgun Toafili,Lawrance rush left for 3 yards gain to the CLE47 (Trotter Jr.,Jeremiah; Mukuba,Andrew).",rush left
3600,6,3,0,pass,7,47,20,3,"3rd and 7 at CLE47	No Huddle-Shotgun Travis,Jordan pass complete short middle to McClain,Malik for 10 yards to the CLE37 (Mukuba,Andrew; Simpson,Trenton), 1ST DOWN.",pass
3600,7,1,0,rush left,10,37,29,20,"1st and 10 at CLE37	No Huddle Benson,Trey rush left for 19 yards gain to the CLE18 (Jones,Sheridan), out of bounds, 1ST DOWN.",rush left
3600,8,1,0,rush right,10,18,-2,29,"1st and 10 at CLE18	(12:44) No Huddle Benson,Trey rush right for 2 yards loss to the CLE20 (Trotter Jr.,Jeremiah).",rush left
3401,9,2,0,rush left,12,20,90,-2,"2nd and 12 at CLE20	No Huddle-Shotgun Travis,Jordan rush left for 20 yards gain to the CLE00 TOUCHDOWN, clock 11:41, 1ST DOWN.",rush left
3401,10,1,0,kick attempt,10,3,0,90,"1st and 10 at CLE3	Fitzgerald,Ryan kick attempt good (H: Mastromanno,Alex, LS: Rosenberry,James).",kick attempt
3401,11,1,7,pass,10,51,2,0,"1st and 10 at FSU49	No Huddle-Shotgun Travis,Jordan pass complete short right to McDonald,Camren for 2 yards to the CLE49 (Phillips,Jalyn; Trotter Jr.,Jeremiah).",pass
3401,12,2,7,pass,8,49,0,2,"2nd and 8 at CLE49	No Huddle-Shotgun Travis,Jordan pass incomplete short right to McDonald,Camren broken up by Henry,K.J..",pass
3401,13,3,7,pass,8,49,-15,0,"3rd and 8 at CLE49	No Huddle-Shotgun Travis,Jordan sacked for loss of 15 yards to the FSU36 (Murphy,Myles).",rush middle
3401,14,4,7,punt,23,64,0,-15,"4th and 23 at FSU36	Mastromanno,Alex punt 37 yards to the CLE27 fair catch by Williams,Antonio at CLE27.",punt
3112,15,1,0,pass,10,93,32,0,"1st and 10 at FSU7	No Huddle-Shotgun Travis,Jordan pass complete deep right to Wilson,Johnny for 22 yards to the FSU29, out of bounds at FSU29, 1ST DOWN.",pass
3112,16,1,0,pass,10,71,2,32,"1st and 10 at FSU29	No Huddle-Shotgun Travis,Jordan pass complete short right to Toafili,Lawrance for 2 yards to the FSU31 (Maguire,Keith; Thomas,Xavier).",pass
3112,17,2,0,rush middle,8,69,4,2,"2nd and 8 at FSU31	No Huddle Toafili,Lawrance rush middle for 4 yards gain to the FSU35 (Bentley,LaVonta).",rush middle
3112,18,3,0,pass,4,65,28,4,"3rd and 4 at FSU35	No Huddle-Shotgun Travis,Jordan pass complete deep middle to McClain,Malik for 18 yards to the CLE47 (Bentley,LaVonta), 1ST DOWN.",pass
3112,19,1,0,rush left,10,47,26,28,"1st and 10 at CLE47	No Huddle-Shotgun Benson,Trey rush left for 16 yards gain to the CLE31 (Mukuba,Andrew; Henry,K.J.), 1ST DOWN.",rush left
3112,20,1,0,pass,10,31,0,26,"1st and 10 at CLE31	No Huddle-Shotgun Travis,Jordan pass incomplete short left to Pittman,Mycah QB hurried by Mascoll,Justin.",pass
3112,21,1,0,rush left,10,25,4,0,"1st and 10 at CLE25	No Huddle-Shotgun Toafili,Lawrance rush left for 4 yards gain to the CLE21 (Davis,Tyler; Simpson,Trenton).",rush left
3112,22,2,0,pass,6,21,16,4,"2nd and 6 at CLE21	No Huddle-Shotgun Travis,Jordan pass complete short left to Pittman,Mycah for 6 yards to the CLE15 (Jones,Sheridan), 1ST DOWN.",pass
3112,23,1,0,rush left,10,15,8,16,"1st and 10 at CLE15	No Huddle-Shotgun Travis,Jordan rush left for 8 yards gain to the CLE07 (Jones,Sheridan), out of bounds.",rush left
3112,24,2,0,rush middle,7,12,6,8,"2nd and 7 at CLE12	No Huddle-Shotgun Toafili,Lawrance rush middle for 6 yards gain to the CLE06 (Orhorhoro,Ruke).",rush middle
3112,25,3,0,rush middle,1,6,10,6,"3rd and 1 at CLE6	No Huddle-Shotgun Toafili,Lawrance rush middle for 1 yard gain to the CLE05 (Trotter Jr.,Jeremiah), 1ST DOWN.",rush middle
3112,26,1,0,rush right,5,5,0,10,"1st and 5 at CLE5	No Huddle-Shotgun Toafili,Lawrance rush right for 1 yard loss to the CLE06 (Page,Payton).",rush right
3112,27,2,0,pass,6,6,0,0,"2nd and 6 at CLE6	No Huddle-Shotgun Travis,Jordan pass incomplete short right to Benson,Trey.",pass
3112,28,3,0,rush middle,6,6,5,0,"3rd and 6 at CLE6	No Huddle-Shotgun Travis,Jordan rush middle for 5 yards gain to the CLE01 (Murphy,Myles). The previous play is under review. The ruling on the field is confirmed.",rush middle
3595,29,4,0,rush middle,1,1,60,5,"4th and 1 at CLE1	No Huddle Lundy,DJ rush middle for 1 yard gain to the CLE00 TOUCHDOWN, clock 14:55. The previous play is under review. The ruling on the field stands.",rush middle
3595,30,1,0,kick attempt,10,3,0,60,"1st and 10 at CLE3	Fitzgerald,Ryan kick attempt good (H: Mastromanno,Alex, LS: Rosenberry,James).",kick attempt
3199,31,1,0,rush left,10,75,5,0,"1st and 10 at FSU25	No Huddle-Shotgun Benson,Trey rush left for 5 yards gain to the FSU30 (Henry,K.J.; Trotter Jr.,Jeremiah).",rush left
3199,32,2,0,rush left,5,70,21,5,"2nd and 5 at FSU30	No Huddle-Shotgun Benson,Trey rush left for 11 yards gain to the FSU41 (Mickens,R.J.), 1ST DOWN.",rush left
3199,33,1,0,rush middle,10,59,30,21,"1st and 10 at FSU41	No Huddle-Shotgun Benson,Trey rush middle for 20 yards gain to the CLE39, End Of Play, 1ST DOWN.",rush middle
3199,34,1,0,pass,10,39,0,30,"1st and 10 at CLE39	No Huddle-Shotgun Travis,Jordan pass incomplete short middle to Wilson,Johnny broken up by Wiggins,Nate.",pass
3199,35,2,0,pass,10,39,0,0,"2nd and 10 at CLE39	No Huddle-Shotgun Travis,Jordan pass incomplete short left to Douglas,Markeston QB hurried by Simpson,Trenton.",pass
3199,36,3,0,rush middle,10,39,8,0,"3rd and 10 at CLE39	No Huddle-Shotgun Travis,Jordan rush middle for 8 yards gain to the CLE31 (Carter,Barrett; Trotter Jr.,Jeremiah).",rush middle
3199,37,4,0,pass,2,31,0,8,"4th and 2 at CLE31	No Huddle-Shotgun Travis,Jordan pass incomplete short left to Wilson,Johnny broken up by Wiggins,Nate.",pass
2811,38,1,-3,pass,10,75,6,0,"1st and 10 at FSU25	No Huddle-Shotgun Travis,Jordan pass complete short middle to Wilson,Johnny for 6 yards to the FSU31 (Phillips,Jalyn; Trotter Jr.,Jeremiah).",pass
2811,39,2,-3,rush left,4,69,29,6,"2nd and 4 at FSU31	No Huddle-Shotgun Toafili,Lawrance rush left for 19 yards gain to the FSU50 (Phillips,Jalyn), out of bounds, 1ST DOWN.",rush left
2811,40,1,-3,rush middle,10,50,-2,29,"1st and 10 at CLE50	No Huddle-Shotgun Travis,Jordan rush middle for 2 yards loss to the FSU48 (Murphy,Myles).",pass
2811,41,2,-3,pass,12,52,-6,-2,"2nd and 12 at FSU48	No Huddle-Shotgun Travis,Jordan sacked for loss of 6 yards to the FSU42 (Murphy,Myles), fumble by Travis,Jordan recovered by CLE Davis,Tyler at FSU42, End Of Play.",pass
2719,42,1,-10,pass,10,75,0,-6,"1st and 10 at FSU25	No Huddle-Shotgun Travis,Jordan pass incomplete short right to Pittman,Mycah.",pass
2719,43,2,-10,rush middle,10,75,21,0,"2nd and 10 at FSU25	No Huddle-Shotgun Travis,Jordan rush middle for 11 yards gain to the FSU36 (Simpson,Trenton), out of bounds, 1ST DOWN.",rush middle
2705,44,1,-10,pass,10,64,21,21,"1st and 10 at FSU36	No Huddle-Shotgun Travis,Jordan pass complete deep right to Toafili,Lawrance for 11 yards to the FSU47 (Carter,Barrett; Trotter Jr.,Jeremiah), 1ST DOWN.",pass
1781,45,1,-17,rush left,10,75,-5,21,"1st and 10 at FSU25	No Huddle-Shotgun Toafili,Lawrance rush left for 5 yards loss to the FSU20 (Orhorhoro,Ruke).",rush middle
1781,46,2,-17,pass,15,80,3,-5,"2nd and 15 at FSU20	No Huddle-Shotgun Travis,Jordan pass complete short right to McDonald,Camren for 3 yards to the FSU23 (Trotter Jr.,Jeremiah).",pass
1781,47,3,-17,pass,12,77,7,3,"3rd and 12 at FSU23	No Huddle-Shotgun Travis,Jordan pass complete short middle to McDonald,Camren for 7 yards to the FSU30 (Phillips,Jalyn).",pass
1781,48,4,-17,rush middle,5,70,4,7,"4th and 5 at FSU30	No Huddle Rector,Wyatt rush middle for 4 yards gain to the FSU34 (Price,Luke; Spector,Brannon).",rush middle
